k,features,sil score,CH score
2,AU12_r,0.6423079835902518,2488171.6273833313
3,AU12_r,0.6255620846788741,3705881.5140538197
4,AU12_r,0.6201029554164461,4826808.228454016
5,AU12_r,0.6187818968484325,5908698.056716976
6,AU12_r,0.6199315836262439,7008019.601502565
7,AU12_r,0.6183602571189691,8030963.536567602
8,AU12_r,0.6187138896691686,9121157.678029671
9,AU12_r,0.6203252232063019,10170136.754977487
10,AU12_r,0.6195980900365652,11185402.764291625
11,AU12_r,0.6169279415720279,12177730.201940607
12,AU12_r,0.618908450232645,13249342.829087306
13,AU12_r,0.6166875888827285,14171827.783562098
14,AU12_r,0.6179691241249202,15205728.598838398
15,AU12_r,0.6183892796459086,16296817.48408598
16,AU12_r,0.6170953380296477,17298733.14326583
17,AU12_r,0.6181341929987004,18296358.982968446
18,AU12_r,0.6174326726080289,19339673.202292226
19,AU12_r,0.6165290682041078,20398267.94970018
20,AU12_r,0.6163140816635145,21447641.109039202
