k,features,sil score,CH score
2,AU06_r,0.6663253709275497,30299.906420125284
3,AU06_r,0.6497999451888559,38182.37570138134
4,AU06_r,0.6573370710537227,50052.911578040985
5,AU06_r,0.6521940095142988,59743.58116543397
6,AU06_r,0.652254825086137,69084.01310039303
7,AU06_r,0.6562592131208136,81049.80691733166
8,AU06_r,0.6566186537733301,91289.9323947232
9,AU06_r,0.6569527376046418,100341.13820344827
10,AU06_r,0.657587614497355,112077.4269491758
11,AU06_r,0.6578886347766586,118692.07776236034
12,AU06_r,0.6567587362695044,130168.71254649015
13,AU06_r,0.6572173665849974,141034.0633239967
14,AU06_r,0.6571784655095471,150716.23777358912
15,AU06_r,0.6570085995504933,161505.7936836542
16,AU06_r,0.655527405775984,172164.4293117142
17,AU06_r,0.6549297804902523,180738.88657014645
18,AU06_r,0.6554635855121866,191671.07706736267
19,AU06_r,0.6565675007289431,203428.34661170447
20,AU06_r,0.6572038622943039,215796.97771295966
