k,features,sil score,CH score
2,AU06_r_AU12_r,0.5562707289628954,16678.470422047645
3,AU06_r_AU12_r,0.48993862148648254,17266.09309385938
4,AU06_r_AU12_r,0.4754640585868749,15923.155212927077
5,AU06_r_AU12_r,0.4711192792134294,17494.014186686
6,AU06_r_AU12_r,0.4655130974475189,16936.239816877336
7,AU06_r_AU12_r,0.45531689977733675,17210.43354970998
8,AU06_r_AU12_r,0.4456969406136637,16748.1780913935
9,AU06_r_AU12_r,0.44487757040193115,16571.30671183562
10,AU06_r_AU12_r,0.4538094005570581,16764.976576092893
11,AU06_r_AU12_r,0.4554011311473352,16707.8938865742
12,AU06_r_AU12_r,0.45127517938475137,16573.152449696317
13,AU06_r_AU12_r,0.44771022440130637,16577.68181227725
14,AU06_r_AU12_r,0.45323695650020857,16582.81940323121
15,AU06_r_AU12_r,0.44878464366587884,16588.35233578428
16,AU06_r_AU12_r,0.44887262554958823,16570.526290421414
17,AU06_r_AU12_r,0.45096552459351735,16581.88963109677
18,AU06_r_AU12_r,0.45455518712970466,16734.192219007422
19,AU06_r_AU12_r,0.4533128652337167,16717.885224606973
20,AU06_r_AU12_r,0.4567292821937464,16664.03743351969
