k,features,bic
1,AU06_r,2662429.4467
2,AU06_r,-367025.900042
3,AU06_r,-541880.628775
4,AU06_r,-634532.62194
5,AU06_r,-694291.685439
6,AU06_r,-725287.811512
7,AU06_r,-739881.86139
8,AU06_r,-742691.493257
9,AU06_r,-744992.932328
10,AU06_r,-746367.394932
1,AU12_r,3044733.56471
2,AU12_r,926459.369728
3,AU12_r,583996.209654
4,AU12_r,489677.903648
5,AU12_r,434383.322613
6,AU12_r,406515.028827
7,AU12_r,391390.349395
8,AU12_r,388073.811716
9,AU12_r,386402.271225
10,AU12_r,383843.261201
1,AU06_r_AU12_r,4829072.72506
2,AU06_r_AU12_r,1621656.29202
3,AU06_r_AU12_r,1324972.9699
4,AU06_r_AU12_r,606151.452178
5,AU06_r_AU12_r,493706.910085
6,AU06_r_AU12_r,433871.715767
7,AU06_r_AU12_r,-875585.182498
8,AU06_r_AU12_r,-915346.553926
9,AU06_r_AU12_r,-938604.199329
10,AU06_r_AU12_r,-958956.017021
