k,features,sil score,CH score
2,AU01_r,0.783520502165,2642833.6432
3,AU01_r,0.74292853382,3592953.37291
4,AU01_r,0.731161507236,4372126.0537
5,AU01_r,0.72645102392,5318006.16856
6,AU01_r,0.722847500743,6247647.81319
7,AU01_r,0.722279347455,7249366.92396
8,AU01_r,0.719876672625,8310611.18566
9,AU01_r,0.717101199131,9364223.69807
10,AU01_r,0.716261090638,10389568.2299
11,AU01_r,0.715766448906,11357980.45
12,AU01_r,0.71458364446,12320452.1681
13,AU01_r,0.713819774727,13207286.0182
14,AU01_r,0.714007697192,14156188.7329
15,AU01_r,0.713544248928,15214360.351
2,AU02_r,0.877211730445,2583195.43117
3,AU02_r,0.858953244172,3432313.56588
4,AU02_r,0.848462820752,4232577.45493
5,AU02_r,0.844323225251,5054603.57454
6,AU02_r,0.840601819631,5910938.61702
7,AU02_r,0.838543550136,6788766.90087
8,AU02_r,0.837461331314,7679644.55541
9,AU02_r,0.835874445057,8488830.62384
10,AU02_r,0.835850716343,9277437.44248
11,AU02_r,0.834771946721,10157384.258
12,AU02_r,0.834939394972,11071144.1884
13,AU02_r,0.836501751499,12074374.4546
14,AU02_r,0.835386753837,13116714.6941
15,AU02_r,0.83650795358,14074911.1071
2,AU05_r,0.905558219135,3167933.46698
3,AU05_r,0.88785272764,4193674.71315
4,AU05_r,0.877822889562,5199524.44452
5,AU05_r,0.871233191352,6234873.93201
6,AU05_r,0.867997269802,7288884.486
7,AU05_r,0.865375480035,8315246.57629
8,AU05_r,0.866342083999,9395722.11385
9,AU05_r,0.864711355487,10381255.0516
10,AU05_r,0.864193836749,11465469.1185
11,AU05_r,0.863852704172,12449541.1831
12,AU05_r,0.864528643376,13470039.7117
13,AU05_r,0.865066928722,14489834.7688
14,AU05_r,0.86329131406,15486500.4363
15,AU05_r,0.86519553041,16678526.1074
2,AU06_r,0.650386316457,3078034.6805
3,AU06_r,0.636588754578,3966457.18245
4,AU06_r,0.641999504208,5155935.68605
5,AU06_r,0.638766575154,6143938.33221
6,AU06_r,0.639484235728,7196917.58678
7,AU06_r,0.637622106138,8253017.65188
8,AU06_r,0.638199084141,9333314.09945
9,AU06_r,0.639570630361,10402962.0282
10,AU06_r,0.637548886215,11429593.3697
11,AU06_r,0.639270243598,12512740.3731
12,AU06_r,0.636708830663,13508004.7946
13,AU06_r,0.636013387035,14563348.7881
14,AU06_r,0.638101962622,15687172.1717
15,AU06_r,0.635953430729,16719758.3563
2,AU07_r,0.660122303702,3440816.95079
3,AU07_r,0.646884334952,4599386.77134
4,AU07_r,0.641888462711,5686864.9636
5,AU07_r,0.6389453412,6753368.93949
6,AU07_r,0.638361517833,7851886.20496
7,AU07_r,0.635880064572,8980650.24144
8,AU07_r,0.635055373727,10083679.1207
9,AU07_r,0.634061394404,11149186.1698
10,AU07_r,0.634281924464,12246949.1017
11,AU07_r,0.633144355376,13260301.9281
12,AU07_r,0.632308782106,14389563.9823
13,AU07_r,0.632690366548,15447917.5251
14,AU07_r,0.630919142454,16507660.31
15,AU07_r,0.633204597916,17675020.2059
2,AU09_r,0.801648674561,2499249.74197
3,AU09_r,0.769500833999,3490925.19309
4,AU09_r,0.762886920694,4455371.48066
5,AU09_r,0.75655384146,5276947.42113
6,AU09_r,0.751569238063,6081906.85524
7,AU09_r,0.749711370399,7018279.95476
8,AU09_r,0.747835782429,7975164.27437
9,AU09_r,0.746204426239,8848796.52003
10,AU09_r,0.744111624565,9729627.16691
11,AU09_r,0.745052639428,10637300.598
12,AU09_r,0.743195885278,11616823.8537
13,AU09_r,0.744770719257,12600190.9052
14,AU09_r,0.744517675011,13638302.9219
15,AU09_r,0.744180528605,14545716.4328
2,AU10_r,0.614008862046,2975578.54555
3,AU10_r,0.613266940809,4013899.47198
4,AU10_r,0.610736080518,4958363.14376
5,AU10_r,0.614119364525,6031243.22801
6,AU10_r,0.611729519203,7039599.61953
7,AU10_r,0.613401193024,8126384.33412
8,AU10_r,0.612385550687,9178139.88807
9,AU10_r,0.612244988452,10190177.1921
10,AU10_r,0.610586443461,11245610.5326
11,AU10_r,0.610711425785,12288543.3895
12,AU10_r,0.61141742018,13362743.16
13,AU10_r,0.611745833294,14346109.4606
14,AU10_r,0.611063950199,15410108.2606
15,AU10_r,0.609810814622,16389606.7453
2,AU12_r,0.638874109551,2586589.5556
3,AU12_r,0.61216740596,3771052.32229
4,AU12_r,0.607595205897,4885998.89095
5,AU12_r,0.605210795592,5943000.06899
6,AU12_r,0.609143412168,7023559.94887
7,AU12_r,0.604844136959,8000110.13386
8,AU12_r,0.606070619561,9040942.64132
9,AU12_r,0.604358508522,10035930.5898
10,AU12_r,0.604356746033,11001918.7032
11,AU12_r,0.604564637498,11993806.0293
12,AU12_r,0.603122710485,12990637.4851
13,AU12_r,0.603264516798,13993144.652
14,AU12_r,0.605132279893,15087453.7765
15,AU12_r,0.603603337915,16100256.8994
2,AU14_r,0.619416122076,2955104.40719
3,AU14_r,0.617785035817,3967446.13034
4,AU14_r,0.615051107412,4898807.47404
5,AU14_r,0.615165854385,5865762.06967
6,AU14_r,0.613105285234,6786277.56347
7,AU14_r,0.612855829962,7693971.25034
8,AU14_r,0.611523502681,8627819.20776
9,AU14_r,0.612017950455,9596906.51513
10,AU14_r,0.61122613511,10507631.0896
11,AU14_r,0.611483129862,11446778.3766
12,AU14_r,0.611403174534,12401210.001
13,AU14_r,0.609125700648,13371482.8993
14,AU14_r,0.608941409349,14379667.6892
15,AU14_r,0.610360410365,15345147.2912
2,AU15_r,0.811675569598,2041124.05059
3,AU15_r,0.783492885453,2725616.89481
4,AU15_r,0.771923658925,3410565.29119
5,AU15_r,0.764819222401,4135565.63154
6,AU15_r,0.760532215652,4965548.79968
7,AU15_r,0.755952439778,5724287.11197
8,AU15_r,0.754529354448,6464355.61407
9,AU15_r,0.751915131204,7311783.60912
10,AU15_r,0.752591338527,8196029.07464
11,AU15_r,0.750517007673,9076406.73129
12,AU15_r,0.751012616184,9915220.12251
13,AU15_r,0.751682470563,10785829.2818
14,AU15_r,0.749320571463,11636419.1338
15,AU15_r,0.750888665981,12421315.46
2,AU17_r,0.641750023535,2538680.51087
3,AU17_r,0.613697617158,3251390.70043
4,AU17_r,0.603794808312,3977760.89477
5,AU17_r,0.601291776413,4731111.00804
6,AU17_r,0.594491611784,5441741.60327
7,AU17_r,0.593736547441,6180403.97366
8,AU17_r,0.593393206841,6898640.89574
9,AU17_r,0.59021417829,7669023.15871
10,AU17_r,0.591793798791,8425803.44218
11,AU17_r,0.590098856957,9149320.50558
12,AU17_r,0.588246264441,9914635.72711
13,AU17_r,0.588010436622,10698104.5397
14,AU17_r,0.587124488194,11462234.9811
15,AU17_r,0.587721236039,12253725.6683
2,AU20_r,0.805426946778,2792793.91185
3,AU20_r,0.790116263711,3473025.44747
4,AU20_r,0.780633655638,4130419.1465
5,AU20_r,0.777153536605,4852149.58732
6,AU20_r,0.771552975094,5548292.28668
7,AU20_r,0.770537237448,6328012.77297
8,AU20_r,0.768964823603,7071700.84729
9,AU20_r,0.769563369349,7833580.71806
10,AU20_r,0.769160624181,8634491.45681
11,AU20_r,0.768470683286,9425766.05383
12,AU20_r,0.769109128711,10296271.5395
13,AU20_r,0.770218940917,11165743.5855
14,AU20_r,0.769399341495,12021809.6986
15,AU20_r,0.769706420738,12949398.4117
2,AU23_r,0.777177406604,2695877.01131
3,AU23_r,0.758729287159,3468115.58236
4,AU23_r,0.75176202242,4316997.03065
5,AU23_r,0.750721744886,5204726.78531
6,AU23_r,0.747999933873,6122320.46062
7,AU23_r,0.747197646642,7015134.45816
8,AU23_r,0.744322340936,7893083.3913
9,AU23_r,0.743906294817,8698938.21293
10,AU23_r,0.74367027469,9602188.23439
11,AU23_r,0.744526533001,10477053.9225
12,AU23_r,0.743228088934,11343864.0884
13,AU23_r,0.743502015546,12219577.8398
14,AU23_r,0.743176556657,13087413.3436
15,AU23_r,0.742549515659,14050344.7249
2,AU25_r,0.666322406644,3273904.49941
3,AU25_r,0.642605358118,4229654.71913
4,AU25_r,0.630765127374,5226676.73939
5,AU25_r,0.624209461862,6251537.01187
6,AU25_r,0.621480582178,7266745.39063
7,AU25_r,0.616993874213,8275881.03178
8,AU25_r,0.616268432998,9281201.69985
9,AU25_r,0.614686147039,10275404.8162
10,AU25_r,0.613412343323,11279444.4537
11,AU25_r,0.612088312417,12310227.3834
12,AU25_r,0.611549524231,13345345.8103
13,AU25_r,0.612346393728,14396321.7481
14,AU25_r,0.611612810598,15435927.4448
15,AU25_r,0.610119809441,16460186.1593
2,AU26_r,0.666390597995,2756776.58002
3,AU26_r,0.645067223226,3444472.92542
4,AU26_r,0.637278506638,4153398.60727
5,AU26_r,0.632229109818,4846227.95881
6,AU26_r,0.629635822196,5573876.40549
7,AU26_r,0.626413522445,6304453.95799
8,AU26_r,0.626710306673,7082682.31969
